"filename", "language", "JSON", "TypeScript", "Markdown", "JavaScript", "YAML", "JSON with Comments", "Properties", "Shell Script", "Python", "Docker", "pip requirements", "HTML", "comment", "blank", "total"
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_bg/prd.conf", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_bg/stg.conf", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_bg/taskdef_template.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/autoscale_sample.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 16, 14, 104
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/dev.conf", "Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/ecs-service-def.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/ecs-task-def.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/ecspresso.yml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/imagedefinitions.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/prd.conf", "Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"/home/dungnv/work-space/nal/ccb-cdk-codebase/container/sample-frontend/build_ecspresso/stg.conf", "Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
